q3_storeroomReplenishRate,Location,Date,Lat,Alt,Lng,SurveyID,TripID,TotalCount,FemaleCount,MaleCount,Speed,Username,q0a_shopID,q0b_surveyConsent,q1_workerCount,q2_storeroomSize,q4_deliveryCount,q5_timeCheck,q6_deliverOrPickup,q7_DELmanufactOrExclDist,q8_DELsupplierReplenishRate,q9_DELlastReplenish,q10a_DELlastReplenishSize,q11_DELtimeOfArrival,q12_DELgoodsArrivalTime1,q13_DELerpPrice,q14_PUPmanufactOrExclDist,q15_PUPsupplierReplenishRate,q16_PUPlastReplenish,q17_PUPlastReplenishSize,q18_PUPvehicleType,q19_PUPerpPrice,q16_1a_companyDelivery1,q16_1b_companyDelivery1,q16_2a_companyDelivery1,q16_2b_companyDelivery1,q16_3a_companyDelivery1,q16_3b_companyDelivery1,q16_4a_companyDelivery1,q16_4b_companyDelivery1,q16_5a_companyDelivery1,q16_5b_companyDelivery1,q16_6a_companyDelivery1,q16_6b_companyDelivery1,q16_7a_companyDelivery1,q16_7b_companyDelivery1,q16_8a_companyDelivery1,q16_8b_companyDelivery1,q16_9a_companyDelivery1,q16_9b_companyDelivery1,q16_10a_companyDelivery1,q16_10b_companyDelivery1,eq1_establishmentName,eq2_postCode,eq3_storeLocation,eq4_visibleArea,eq5_retailChain,eq6a_weekdayHoursOpen,eq6b_establishmentIndustry,eq7_weekdayHoursClose,eq8a_relativeAmountSales,eq8b_relativeAmountSales,eq8c_relativeAmountSales,eq8d_relativeAmountSales,eq8e_relativeAmountSales,eq8f_relativeAmountSales,eq8g_relativeAmountSales,eq8h_relativeAmountSales,eq8i_relativeAmountSales,q20_1a_companyDelivery1,q20_1b_companyDelivery1,q20_2a_companyDelivery1,q20_2b_companyDelivery1,q20_3a_companyDelivery1,q20_3b_companyDelivery1,q20_4a_companyDelivery1,q20_4b_companyDelivery1,q20_5a_companyDelivery1,q20_5b_companyDelivery1,q20_6a_companyDelivery1,q20_6b_companyDelivery1,q20_7a_companyDelivery1,q20_7b_companyDelivery1,q20_8a_companyDelivery1,q20_8b_companyDelivery1,q20_9a_companyDelivery1,q20_9b_companyDelivery1,q20_10a_companyDelivery1,q20_10b_companyDelivery1,** q5_timeCheck,q20,eq6b_weekdayHoursClose,eq7_establishmentIndustry
2,"<Point><coordinates>103.8512785,1.3051583,0.0</coordinates></Point>",2014-07-14 11:37:15,1.3051583,0.0,103.8512785,S9604503,,0,0,0,,yinjin26@gmail.com,20229,Yes,10,Less than 10 m2,0,"Odd (Sidebar, Mod1)","We picked it up from the source. 我们去拿货送回店里 (Sidebar, PICK)",,,,,,,,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Multiple days a week. 一个星期几次,"(Frozen food (e.g. Frozen meat, cake))",100x100x100m,Van,Do not know. 不知道,,,,,,,,,,,,,,,,,,,,,premaas cuisine,209409,Street/street houses,10 m2 - 25 m2,No,11,,,3 (Most),0 (None),2 (Some),0 (None),0 (None),0 (None),0 (None),0 (None),1 (Least),,,,,,,,,,,,,,,,,,,,,,,23,"Cafes, restaurants, bars and bakeries baked on site (5611, 56121, 1071)"
1,"<Point><coordinates>103.8508464,1.3053549,0.0</coordinates></Point>",2014-07-14 11:41:25,1.3053549,0.0,103.8508464,S7861975,,0,0,0,0.0,hhhdasdl@gmail.com,99997,Yes,16,50 m2 - 100 m2,3,"Even (Sidebar, Mod2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1000,,,3 (Most),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,2230,"Cafes, restaurants, bars and bakeries baked on site (5611, 56121, 1071)"
6,"<Point><coordinates>103.8519594,1.306462,0.0</coordinates></Point>",2014-07-14 13:14:03,1.306462,0.0,103.8519594,S7402347,,0,0,0,,yinjin26@gmail.com,24004,Yes,5,Less than 10 m2,3,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From our corporate warehouse/ office. 我们公司自己的货仓,Multiple days a week. 一个星期几次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",50x50x50cm,1:00PM to 3:00 PM,"The store, the goods are delivered at a time we specified. 我们有指定送货时间。",Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,,,,,,,mani iyer,209107,Street/street houses,100 m2 – 200 m2,No,1100,,,3 (Most),0 (None),2 (Some),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,2300,"Cafes, restaurants, bars and bakeries baked on site (5611, 56121, 1071)"
18,"<Point><coordinates>103.8527247,1.3073717,0.0</coordinates></Point>",2014-07-14 15:16:36,1.3073717,0.0,103.8527247,S7431604,,0,0,0,,yinjin26@gmail.com,00,Yes,9,There is no storage space.,10,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Multiple days a week. 一个星期几次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",100x100x100m,1:00PM to 3:00 PM,The other party. 出货的人决定。,,,,,,,,,,,,,,,,,,,,,,,,,,,,modhumoti minimart,209558,Street/street houses,50 m2 - 100 m2,No,1100,,,2 (Some),3 (Most),2 (Some),1 (Least),1 (Least),,,,,,,,,,,,,,,,,,,,,,,,,,,2200,"Grocery store mainly selling fresh products (e.g. a mix of vegetables, meat, fish, others)  (472)"
,"<Point><coordinates>103.855121,1.3099121,0.0</coordinates></Point>",2014-07-14 15:35:49,1.3099121,0.0,103.855121,S6874938,,0,0,0,,yinjin26@gmail.com,799994,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"<Point><coordinates>103.8557551,1.3070733,0.0</coordinates></Point>",2014-07-14 16:16:59,1.3070733,0.0,103.8557551,S8442187,,0,0,0,,yinjin26@gmail.com,2730,Yes,4,50 m2 - 100 m2,3,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Once every two weeks. 每两个星期一次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",200x100x100m,9:00AM to 11:00 AM,We negotiate the delivery time together. 我们有商量最适当的送货时间。,,,,,,,,,,,,,,,,,,,,,,,,,,,,bean curd city,208859,Street/street houses,25 m2 - 50 m2,,,,,,0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,,
,"<Point><coordinates>103.8537479,1.3094593,20.0</coordinates></Point>",2014-07-14 16:30:43,1.3094593,20.0,103.8537479,S0540525,,0,0,0,0.0,saraheleanormao@gmail.com,7687,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"<Point><coordinates>103.8526052,1.3073378,0.0</coordinates></Point>",2014-07-14 16:46:27,1.3073378,0.0,103.8526052,S6589941,,0,0,0,0.0,haokaishi520@gmail.com,21436,Yes,2,Less than 10 m2,130,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Once a week. 一个星期一次,(Cosmetics),50x50x50cm,3:00PM to 5:00 PM,The other party. 出货的人决定。,Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,,,,,,,s subramaniam,218021,Street/street houses,50 m2 - 100 m2,No,0915,,,0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,Grocery store mainly selling several types of dry goods (consumer packaged goods) (471)
2,"<Point><coordinates>103.8517893,1.3063835,20.0</coordinates></Point>",2014-07-14 16:47:17,1.3063835,20.0,103.8517893,S4785716,,0,0,0,0.0,saraheleanormao@gmail.com,3192,Yes,,Less than 10 m2,21,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Once a day. 一天一次,"(Fresh food (e.g. Vegetable, meat))",25x25x25cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (None),0 (None),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,,
3,"<Point><coordinates>103.8512942,1.3049828,0.0</coordinates></Point>",2014-07-14 17:21:39,1.3049828,0.0,103.8512942,S2648708,,0,0,0,0.0,saraheleanormao@gmail.com,13039,Yes,3,There is no storage space.,"1 (Sidebar, Mod1)",,It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From the manufacturer or exclusive distributor. 工厂或者专属供应商 (专卖一种品牌的产品),Multiple days a week. 一个星期几次,"(Packaging materials, e.g. plastic boxes and bags)",50x50x50cm,11:00PM to 1:00 PM,The other party. 出货的人决定。,Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,,,,,,,Jolibean,218227,Indoor/underground mall,10 m2 - 25 m2,Yes,0800,,,3 (Most),0 (None),2 (Some),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,2200,"Cafes, restaurants, bars and bakeries baked on site (5611, 56121, 1071)"
0,"<Point><coordinates>103.8507985,1.3053261,0.0</coordinates></Point>",2014-07-14 11:20:10,1.3053261,0.0,103.8507985,S8119937,,0,0,0,0.0,haokaishi520@gmail.com,40000,Yes,1,Less than 10 m2,8,"Even (Sidebar, Mod2)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Once a week. 一个星期一次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",25x25x25cm,1:00PM to 3:00 PM,The other party. 出货的人决定。,Yes. 是,,,,,,,,,,,,,,,,,,,,,,,,,,,leeds market,209782,Street/street houses,10 m2 - 25 m2,No,1100,,,1 (Least),0 (None),3 (Most),0 (None),0 (None),1 (Least),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,1000,Grocery store mainly selling several types of dry goods (consumer packaged goods) (471)
6,"<Point><coordinates>103.8525206,1.306509,0.0</coordinates></Point>",2014-07-14 12:03:39,1.306509,0.0,103.8525206,S6513677,T5478083,0,0,0,0.0,kimcuong030992@gmail.com,9100,Yes,4,There is no storage space.,15,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Once a week. 一个星期一次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",50x50x50cm,3:00PM to 5:00 PM,The other party. 出货的人决定。,,,,,,,,,,,,,,,,,,,,,,,,,,,,G abdul Rahim Brothers,207468,Street/street houses,10 m2 - 25 m2,No,,,,1 (Least),2 (Some),3 (Most),0 (None),,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Grocery store mainly selling several types of dry goods (consumer packaged goods) (471)
1,"<Point><coordinates>103.8573797,1.3115908,0.0</coordinates></Point>",2014-07-14 15:36:35,1.3115908,0.0,103.8573797,S1420552,,0,0,0,0.0,hhhdasdl@gmail.com,99990,Yes,12,10 m2 - 25 m2,20,"Even (Sidebar, Mod2)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Once a week. 一个星期一次,"(Fresh food (e.g. Vegetable, meat))",200x100x100m,9:00AM to 11:00 AM,We negotiate the delivery time together. 我们有商量最适当的送货时间。,Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,,,,,,,Raj restaurant,207655,Street/street houses,100 m2 – 200 m2,Yes,1100,,,0 (None),3 (Most),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,2230,"Cafes, restaurants, bars and bakeries baked on site (5611, 56121, 1071)"
,"<Point><coordinates>103.8550791,1.3057969,0.0</coordinates></Point>",2014-07-14 10:35:30,1.3057969,0.0,103.8550791,S1457533,,0,0,0,0.0,hhhdasdl@gmail.com,722,Yes,3,Less than 10 m2,10,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From the manufacturer or exclusive distributor. 工厂或者专属供应商 (专卖一种品牌的产品),Multiple days a week. 一个星期几次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",One to two 200x100x100m boxes,Before 7:00 AM,The other party. 出货的人决定。,No. 否,,,,,,,,,,,,,,,,,,,,,,,,,,,7-11,209406,Street/street houses,25 m2 - 50 m2,Yes,2400,,,3 (Most),3 (Most),2 (Some),0 (None),1 (Least),0 (None),0 (None),0 (None),0 (None),"(Frozen food (e.g. Frozen meat, cake),Fresh food (e.g. Vegetable, meat))",Multiple days a week. 一个星期几次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Multiple days a week. 一个星期几次,"(Fresh food (e.g. Vegetable, meat))",Once a week. 一个星期一次,,,,,,,,,,,,,,,,,2400,Grocery store mainly selling several types of dry goods (consumer packaged goods) (471)
8,"<Point><coordinates>103.8547776,1.3056843,0.0</coordinates></Point>",2014-07-14 12:18:30,1.3056843,0.0,103.8547776,S6588289,,0,0,0,0.0,saraheleanormao@gmail.com,50000,Yes,1,There is no storage space.,10,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Once a week. 一个星期一次,(Medicinal and pharmaceutical products),25x25x25cm,1:00PM to 3:00 PM,The other party. 出货的人决定。,Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,,,,,,,Yan Siew Tong Medical Hall,207376,Street/street houses,25 m2 - 50 m2,No,1000,,,0 (None),0 (None),0 (None),0 (None),0 (None),3 (Most),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,1800,Pharmacies and drug stores. May sell other personal products (47722/3)
29,"<Point><coordinates>103.8530586,1.306378,0.0</coordinates></Point>",2014-07-14 12:29:40,1.306378,0.0,103.8530586,S7815889,,0,0,0,,yinjin26@gmail.com,5653,Yes,10,Less than 10 m2,8,"Even (Sidebar, Mod2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cocette,209494,Street/street houses,25 m2 - 50 m2,No,1100,,,3 (Most),0 (None),2 (Some),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Once a week. 一个星期一次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Once a month. 一个月一次,"(Fresh food (e.g. Vegetable, meat))",Multiple days a week. 一个星期几次,"(Fresh food (e.g. Vegetable, meat))",Multiple days a week. 一个星期几次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Once a week. 一个星期一次,"(Fresh food (e.g. Vegetable, meat))",Once a week. 一个星期一次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Multiple times a day. 一天几次,"(Packaging materials, e.g. plastic boxes and bags)",Once a month. 一个月一次,,,,,,,2200,"Cafes, restaurants, bars and bakeries baked on site (5611, 56121, 1071)"
7,"<Point><coordinates>103.8519594,1.306462,0.0</coordinates></Point>",2014-07-14 13:01:34,1.306462,0.0,103.8519594,S5269847,,0,0,0,,yinjin26@gmail.com,4911,Yes,9,Less than 10 m2,4,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Once a day. 一天一次,"(Fresh food (e.g. Vegetable, meat))",50x50x50cm,After 7:00PM,The other party. 出货的人决定。,Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,,,,,,,chetty villas restaurant,208253,Street/street houses,100 m2 – 200 m2,Yes,1030,,,3 (Most),0 (None),2 (Some),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),"(Fresh food (e.g. Vegetable, meat))",Once a week. 一个星期一次,,,,,,,,,,,,,,,,,,,,,2300,"Cafes, restaurants, bars and bakeries baked on site (5611, 56121, 1071)"
2,"<Point><coordinates>103.8519726,1.3061402,0.0</coordinates></Point>",2014-07-14 17:12:18,1.3061402,0.0,103.8519726,S9401312,,0,0,0,0.0,haokaishi520@gmail.com,10037,Yes,2,Less than 10 m2,"1 (Sidebar, Mod1)",,It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From our corporate warehouse/ office. 我们公司自己的货仓,Multiple days a week. 一个星期几次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce),Medicinal and pharmaceutical products,Cosmetics)",200x100x100m,9:00AM to 11:00 AM,The other party. 出货的人决定。,Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,,,,,,,guardian,218227,Indoor/underground mall,50 m2 - 100 m2,Yes,1000,,,0 (None),0 (None),1 (Least),3 (Most),3 (Most),2 (Some),,0 (None),,,,,,,,,,,,,,,,,,,,,,,,2100,Shops that only sells cosmetics and toiletries (47721)
6,"<Point><coordinates>103.853059,1.3060015,0.0</coordinates></Point>",2014-07-14 11:43:23,1.3060015,0.0,103.853059,S8188526,,0,0,0,0.0,haokaishi520@gmail.com,11951,Yes,2,Less than 10 m2,10,"Even (Sidebar, Mod2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hwa  beng co,209789,Street/street houses,10 m2 - 25 m2,No,0900,,,,,3 (Most),0 (None),,0 (None),0 (None),0 (None),0 (None),"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Multiple days a week. 一个星期几次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Multiple days a week. 一个星期几次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce),Medicinal and pharmaceutical products)",Once a week. 一个星期一次,,,,,,,,,,,,,,,,,2300,Grocery store mainly selling several types of dry goods (consumer packaged goods) (471)
7,"<Point><coordinates>103.8531619,1.3063459,0.0</coordinates></Point>",2014-07-14 11:46:01,1.3063459,0.0,103.8531619,S0914990,,0,0,0,0.0013268981873989106,saraheleanormao@gmail.com,99997,Yes,2,Less than 10 m2,5,"Even (Sidebar, Mod2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,srini international pte importer wholedaler,209789,Street/street houses,10 m2 - 25 m2,No,10,,,0 (None),1 (Least),3 (Most),0 (None),1 (Least),0 (None),0 (None),0 (None),0 (None),"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Multiple days a week. 一个星期几次,,,,,,,,,,,,,,,,,,,,,20,Grocery store mainly selling several types of dry goods (consumer packaged goods) (471)
12,"<Point><coordinates>103.8528312,1.3072887,0.0</coordinates></Point>",2014-07-14 13:18:42,1.3072887,0.0,103.8528312,S2859593,,0,0,0,0.0,hhhdasdl@gmail.com,99993,Yes,4,Less than 10 m2,30,"Even (Sidebar, Mod2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tamilar store pte ltd,207307,Street/street houses,25 m2 - 50 m2,No,0630,,,2 (Some),0 (None),3 (Most),0 (None),3 (Most),0 (None),0 (None),0 (None),0 (None),"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Once a week. 一个星期一次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Once a week. 一个星期一次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Once a week. 一个星期一次,(Other household cleaning products),Once a week. 一个星期一次,"(Fresh food (e.g. Vegetable, meat))",Multiple days a week. 一个星期几次,,,,,,,,,,,,,2330,Grocery store mainly selling several types of dry goods (consumer packaged goods) (471)
,"<Point><coordinates>103.8545331,1.308945,0.0</coordinates></Point>",2014-07-14 15:07:33,1.308945,0.0,103.8545331,S1851111,,0,0,0,0.0,hhhdasdl@gmail.com,99991,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"<Point><coordinates>103.8527247,1.3073717,0.0</coordinates></Point>",2014-07-14 15:13:07,1.3073717,0.0,103.8527247,S0462739,,0,0,0,,yinjin26@gmail.com,17053,Yes,9,There is no storage space.,10,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Multiple days a week. 一个星期几次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",100x100x100m,1:00PM to 3:00 PM,The other party. 出货的人决定。,,,,,,,,,,,,,,,,,,,,,,,,,,,,modhumoti minimart,209558,Street/street houses,50 m2 - 100 m2,No,1100,,,0 (None),3 (Most),2 (Some),0 (None),1 (Least),0 (None),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,2200,"Grocery store mainly selling fresh products (e.g. a mix of vegetables, meat, fish, others)  (472)"
1,"<Point><coordinates>103.8539613,1.308549,0.0</coordinates></Point>",2014-07-14 15:33:25,1.308549,0.0,103.8539613,S5886247,,0,0,0,0.0,haokaishi520@gmail.com,11025,Yes,4,There is no storage space.,2,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From the manufacturer or exclusive distributor. 工厂或者专属供应商 (专卖一种品牌的产品),Once every two weeks. 每两个星期一次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",100x100x100m,1:00PM to 3:00 PM,"The store, the goods are delivered at a time we specified. 我们有指定送货时间。",Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,,,,,,,hiap soon hin,200640,Street/street houses,25 m2 - 50 m2,No,0830,,,0 (None),2 (Some),3 (Most),1 (Least),1 (Least),0 (None),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,0730,Grocery store mainly selling several types of dry goods (consumer packaged goods) (471)
4,"<Point><coordinates>103.8558743,1.3097059,0.0</coordinates></Point>",2014-07-14 15:34:23,1.3097059,0.0,103.8558743,S1175677,,0,0,0,,yinjin26@gmail.com,,Yes,10,Less than 10 m2,3,"Even (Sidebar, Mod2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,murugan idli restaurants,207660,Street/street houses,50 m2 - 100 m2,No,0900,,,3 (Most),0 (None),2 (Some),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Once a week. 一个星期一次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Once every two weeks. 每两个星期一次,"(Fresh food (e.g. Vegetable, meat))",Once a week. 一个星期一次,,,,,,,,,,,,,,,,,2300,"Cafes, restaurants, bars and bakeries baked on site (5611, 56121, 1071)"
7,"<Point><coordinates>103.8548072,1.3104111,0.0</coordinates></Point>",2014-07-14 16:03:51,1.3104111,0.0,103.8548072,S2804318,,0,0,0,0.0,haokaishi520@gmail.com,5891,Yes,10,25 m2 - 50 m2,2,"Even (Sidebar, Mod2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,copper  chimney,207676,Street/street houses,50 m2 - 100 m2,No,1130,,,3 (Most),,,,,,,,,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Multiple days a week. 一个星期几次,"(Fresh food (e.g. Vegetable, meat))",Multiple days a week. 一个星期几次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Multiple days a week. 一个星期几次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Multiple days a week. 一个星期几次,,,,,,,,,,,,,,,2400,"Food court and hawkers (5614, 56122)"
12,"<Point><coordinates>103.8496319,1.3060042,0.0</coordinates></Point>",2014-07-14 10:19:08,1.3060042,0.0,103.8496319,S4706569,,0,0,0,0.0,hhhdasdl@gmail.com,00,Yes,12,Less than 10 m2,"1 (Sidebar, Mod1)",,,,,,,,,,From the exclusive distributor. 专属供应商 (专卖一种品牌的产品),Once a day. 一天一次,"(Frozen food (e.g. Frozen meat, cake))",More than two 200x100x100m box,Van,Yes. 是,,,,,,,,,,,,,,,,,,,,,,00,Street/street houses,25 m2 - 50 m2,Yes,000,,,3 (Most),2 (Some),2 (Some),,,,,,,"(Frozen food (e.g. Frozen meat, cake))",Multiple times a day. 一天几次,"(Cooked, Prepared food)",Once a day. 一天一次,,,,,,,,,,,,,,,,,,,000,Shops that only sells cosmetics and toiletries (47721)
42,"<Point><coordinates>103.8524587,1.3053527,23.0</coordinates></Point>",2014-07-14 10:50:21,1.3053527,23.0,103.8524587,S2408707,T1986830,0,0,0,0.0013354895263910293,saraheleanormao@gmail.com,999999,Yes,6,There is no storage space.,9,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Multiple times a day. 一天几次,"(Fresh food (e.g. Vegetable, meat))",50x50x50cm,11:00PM to 1:00 PM,Others. 其他。,Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai supermarkets,209664,Street/street houses,10 m2 - 25 m2,Yes,0800,,,2 (Some),3 (Most),2 (Some),1 (Least),1 (Least),1 (Least),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,2200,"Grocery store mainly selling fresh products (e.g. a mix of vegetables, meat, fish, others)  (472)"
,"<Point><coordinates>103.8575247,1.3091295,0.0</coordinates></Point>",2014-07-14 12:37:36,1.3091295,0.0,103.8575247,S7393839,,0,0,0,,yinjin26@gmail.com,27636,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"<Point><coordinates>103.8508464,1.3053549,0.0</coordinates></Point>",2014-07-14 11:18:07,1.3053549,0.0,103.8508464,S4567639,,0,0,0,0.0,hhhdasdl@gmail.com,4876,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
